ID,ID Count,Average of Days to Liquidate,Sum of Current UPB,Average of Current UPB
PR,2,175,106322.43,53161.215
AK,5,305.2,687213.97,137442.794
ND,9,240,826241.65,91804.62778
MT,15,326.9333333,864999.57,57666.638
SD,15,371.8,1243252.04,82883.46933
NH,26,362.1923077,3969502.57,152673.1758
DC,31,388.7096774,6646404.2,214400.1355
VT,36,488.7222222,3504097.14,97336.03167
NE,44,279.5681818,2352253.32,53460.30273
WV,53,438.8679245,3417991.13,64490.39868
HI,59,-305.0677966,14622875.01,247845.3392
ID,74,233.7837838,8173222.71,110448.9555
RI,86,353.3139535,14319766.52,166508.913
UT,107,234.8878505,14079637.89,131585.4008
AR,124,399.5,5501235.31,44364.80089
KS,136,367.7205882,7868197.89,57854.39625
ME,145,467.5586207,14305377.42,98657.77531
DE,156,407.9230769,16840325.51,107950.8046
CO,159,224.1761006,18896930.27,118848.6181
IA,164,358.3841463,8799170.02,53653.47573
NM,165,132.4848485,11417510.89,69197.0357
MN,204,331.7009804,22653320.84,111045.6904
MS,216,375.375,10453937.02,48397.85657
OR,234,369.7307692,24768921.37,105850.0913
OK,241,374.9253112,10355166.78,42967.49701
MO,275,318.4581818,20300323.7,73819.35891
AL,281,357.4270463,15689547.37,55834.68815
CT,301,440.9900332,36589748.93,121560.6277
WA,317,-101.5425868,40969588.81,129241.6051
VA,318,235.2358491,34464027.17,108377.4439
KY,329,240.1276596,17922759.92,54476.47392
NV,342,130.3333333,49736170.7,145427.3997
MA,351,406.4985755,54315824.33,154745.9383
LA,355,162.9464789,20564437.9,57927.99408
TN,461,221.3362256,27264135.8,59269.86043
GA,490,467.2612245,42276840.05,86455.70562
SC,509,367.4518664,36458793.08,71628.27717
MD,537,110.3314711,74724817.71,139152.3607
AZ,592,111.2871622,124197252.6,209792.6564
WI,592,281.6891892,47996912.06,81075.86497
NC,688,348.7209302,44471398.69,64638.66089
IN,922,331.994577,51937382.56,56331.21753
MI,939,364.6794462,76892285.24,81887.41772
PA,941,323.2712766,63388469.38,67362.87926
TX,1041,274.339097,62202822.84,59752.95182
NJ,1425,481.2126316,215743164,151398.7116
OH,1733,140.7853433,108177307.8,62421.98947
CA,1750,-236.7211429,358065694.3,204608.9682
NY,1942,374.7435633,342097493.9,176157.3089
IL,1948,340.2419106,205597300.6,105542.7621
FL,4658,203.8074281,638974135.6,137177.7878